t x_1 v_1 x_0.1 v_0.1 x_0.01 v_0.01 x_0.001 v_0.001
0 0 1 0 1 0 1 0 1
0.001 0 1 0 1 0 1 0.001 1
0.002 0 1 0 1 0 1 0.002 0.999999
0.003 0 1 0 1 0 1 0.003 0.999996
0.004 0 1 0 1 0 1 0.004 0.999993
0.005 0 1 0 1 0 1 0.00499999 0.999988
0.006 0 1 0 1 0 1 0.00599998 0.999982
0.007 0 1 0 1 0 1 0.00699996 0.999975
0.008 0 1 0 1 0 1 0.00799993 0.999966
0.009 0 1 0 1 0 1 0.0089999 0.999957
0.01 0 1 0 1 0.01 1 0.00999986 0.999946
0.011 0 1 0 1 0.01 1 0.0109998 0.999934
0.012 0 1 0 1 0.01 1 0.0119997 0.999921
0.013 0 1 0 1 0.01 1 0.0129997 0.999907
0.014 0 1 0 1 0.01 1 0.0139996 0.999891
0.015 0 1 0 1 0.01 1 0.0149995 0.999874
0.016 0 1 0 1 0.01 1 0.0159993 0.999856
0.017 0 1 0 1 0.01 1 0.0169992 0.999837
0.018 0 1 0 1 0.01 1 0.017999 0.999817
0.019 0 1 0 1 0.01 1 0.0189988 0.999795
0.02 0 1 0 1 0.02 0.99988 0.0199986 0.999772
0.021 0 1 0 1 0.02 0.99988 0.0209984 0.999749
0.022 0 1 0 1 0.02 0.99988 0.0219982 0.999723
0.023 0 1 0 1 0.02 0.99988 0.0229979 0.999697
0.024 0 1 0 1 0.02 0.99988 0.0239976 0.999669
0.025 0 1 0 1 0.02 0.99988 0.0249972 0.999641
0.026 0 1 0 1 0.02 0.99988 0.0259969 0.999611
0.027 0 1 0 1 0.02 0.99988 0.0269965 0.99958
0.028 0 1 0 1 0.02 0.99988 0.0279961 0.999547
0.029 0 1 0 1 0.02 0.99988 0.0289956 0.999514
0.03 0 1 0 1 0.0299988 0.999641 0.0299951 0.999479
0.031 0 1 0 1 0.0299988 0.999641 0.0309946 0.999443
0.032 0 1 0 1 0.0299988 0.999641 0.0319941 0.999406
0.033 0 1 0 1 0.0299988 0.999641 0.0329935 0.999368
0.034 0 1 0 1 0.0299988 0.999641 0.0339928 0.999328
